RegionName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sub-Saharan Africa,180.2,178.8,177.3,175.7,174.8,172.2,169.1,166.3,163,158.8,154.3,149.3,143.9,138.3,132.6,127,121.5,116.2,110.9,105.9,101.2,96.9,92.8,89.2,86,83.1
Eastern and Southern Africa,166.5,165.1,163.5,161.9,161.7,158.5,154.6,151.9,148.9,144.4,139.7,134.4,128.6,122.5,116.4,110.5,104.7,99.1,93.7,88.6,83.7,79.3,75.3,71.8,68.9,66.5
West and Central Africa,198.4,196.9,195.4,193.8,192.1,190,187.6,184.5,181,176.9,172.4,167.4,162.1,156.6,151,145.3,139.7,134.2,128.9,123.7,118.8,114.3,110,105.9,102.2,98.7
Middle East and North Africa,71,68.6,66.5,64.6,62.6,60.7,58.7,56.7,54.5,52.4,50.4,48.6,46.9,45.3,43.7,42.1,40.4,38.8,37.1,35.6,34.2,32.9,31.8,30.7,29.7,28.9
South Asia,129.3,125.5,121.9,118.3,114.8,111.2,107.7,104.2,100.6,97.1,93.6,90.1,86.8,83.5,80.4,77.3,74.4,71.7,69.1,66.5,64,61.6,59.1,56.8,54.6,52.5
East Asia and Pacific,58.3,57.1,55.8,54.3,52.7,51.1,49.5,47.8,45.8,43.8,41.5,39.2,36.8,34.5,33.3,30.3,28.5,26.9,26.4,24.1,22.9,21.7,20.6,19.5,18.5,17.8
Latin America and the Caribbean,53.8,51.5,49.2,46.9,44.7,42.4,40.2,38.1,36.3,34.1,32,30.2,28.6,27.1,25.8,24.6,23.6,22.7,21.9,21.2,24,19.9,19.3,18.7,18.3,17.9
